상품명,가격,url
Apple 애플 아이폰 13 미니 128GB 새상품,"298,000원",https://cr.shopping.naver.com/adcr?x=ONa3eI5g3eUS426X0ribZf%2F%2F%2Fw%3D%3DsrzVjn6XpTsDZgftGlVchW61odJ2%2F6LBtogIwFjN3ri1yoYErd7Wx1dfdVO6hh7qVkpLn3FKOY6nVxjChl0uZwMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiA1LVRlAgkOUKJeTsi9xY02inTGG7KCW3doOQJ%2BYH80XnvvnSRIEVIqumWUtq14oyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1zPnBo0jGi%2FSdSlDWdPE2TZznAAH%2FDJkgOxgHmnSf1jTrPjXVpAYjjMPX7rV%2F9VELffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeFMlerFnlHgbY9S7cQWnSZfzA%2FfFGwFyP2tYuDODOy1Gf5S5ycDGuwbfEdv1A6kKwo%2Bc%2FlZWaIUXsg%2F2klmWe%2BwLNqMw%2BeHVqCrVi4dExzJ86bQlEV6LDXH8LAv%2BSNrPPsc3MUiEjKLELVLVQQ6nB42kqSFcAPQYG1nMd7vCZ%2FGoxPgs2GTV%2FdgHpoUwcZlrNiNB%2BvLCH2eoqdDEtpzC0fpITHdQu9rcPTYVBN0Jv4uEkAlOKwPahCEyYd9E%2BlamjtVpYIwS3KNtPF8%2F7o1UbgB%2BxTFCQ3VlULJtsFJyZS2uhggQeEld25zwQSBt6cy18R0cjwVm1BUYVknE7IEMpz4%3D&nvMid=88573763568&catId=50001519
아이폰 16 프로 128GB [자급제],"최저1,538,900원",https://cr.shopping.naver.com/adcr?x=RPDZSjuNGaYMt6cl2EisV%2F%2F%2F%2Fw%3D%3Dsq11CvgpLzKsMFRFpkGJ4d4wpn2kEawJe7d6nPqir6%2BhyoYErd7Wx1dfdVO6hh7qVvFYb2WcMgGjcTP7TWhx6GsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiA1LVRlAgkOUKJeTsi9xY02inTGG7KCW3doOQJ%2BYH80XnvvnSRIEVIqumWUtq14ohmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9CM0pK8NZj42hl2dNxhmBiGIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VEWjWWIrRfi9AiqOQ%2B6%2BMpYtLAtd6Si8ClkYdMWCiOC0asJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8xpspVmyxOb7Lei8%2FoHAhHMsAtL8fJ2bJiK4iNmaN1Szqdi3Q%2Fm8V2A5jR123nAwZX%2BJwJeh5xPdwehJjeyqpPT9qOUXMLKlJc9w1jEpmFghDk2nHMP4aHVCx%2FcONoE3u%2B%2BWOfqwD9uGfTFomnkEp4aMYuo7XCQSTUEtv0UGRAxySEJ2Md7S4zPenKzbCVMyAyrLYMdxkLRZXmyT4LQV7OL0zLbdc7dzptVOGwj0oFHNYTK6t%2FtJt6ib0nLnuWDfwEs8cFUTVf2EXpmSuc9bAhOQddtqXm8Owv6J3VXZssLtao%2F0GjGSYVVG82Tpi%2FP1DaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=53599505975&catId=50001519
아이폰 16 프로 256GB [자급제],"최저1,647,990원",https://cr.shopping.naver.com/adcr?x=c%2BgIyX%2Fql3rTufWJNiGDO%2F%2F%2F%2Fw%3D%3Ds%2Bt6Dia4CSOa4oaL82ViaErpmVY3Xey03tOz%2FKYQb9%2BPxTAJR5s3V3RheLYZrm3hTp3vlmY4F5uCcsFkocrXzTGg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUIoMxO%2F3CnpkP8X%2FE2P5iIuNf0Oyh2rLulGjjhxbUmdRSa7WLVI%2B09atnjrAx2aay334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMuf0NR%2Fx5rWTcVMnKn8BCOoY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpFBioyGYc1IlucKuBLuPxSHW%2FbW1RZL90VKQTLStCFUD0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpHElNnIcgHBZ2RHojmUR%2FhO6T3bDtpWlCEOHcbcnbPa4bV9SohnsJOp40F4RSK4iN%2FKedhEvAQb490XfGZfqEBi6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45Ko0Wn3a%2B809al4d%2FFSNiFBa3qO%2FJJZ0C6p0MGfnHM5LggerpeGwa3Fr8fY%2FVuqdSQ00qFMgky6KSpziOj8HLOx3M%2BzgTsgpKhA7oYzIBM9LHduSZoOps4RKuJpuWq8Fz1ev4YGjJCSIW1IvBxXT1wG9zxmcZU648LrPlVLlNhWDUPw1Kw%2B1x8GHJUPajMW7qriDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=53599506392&catId=50001519
애플 아이폰 13 미니 128GB 미개봉 새제품,"298,000원",https://cr.shopping.naver.com/adcr?x=ZYkpJwCZgG9ND%2FaHV0h6F%2F%2F%2F%2Fw%3D%3DsKlTkITJSoQhc1WmnA4qykVBCPmcB5j5FZeDQr%2BNSvwlyoYErd7Wx1dfdVO6hh7qVazy8Nttlbwu7gpJcEwKYhMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiA1LVRlAgkOUKJeTsi9xY02inTGG7KCW3doOQJ%2BYH80XnvvnSRIEVIqumWUtq14oyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1J7CcSJ0DIUdHAyuPJ6A8oZznAAH%2FDJkgOxgHmnSf1jTrPjXVpAYjjMPX7rV%2F9VELffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroePQm%2Ffwh1%2BQktBMkK1uXQJZS99JHAyq1CiZde5JFryweV36ogsAbT2GMBHUreotiQDwcCGL7wb9qVFmCBR2COKxzPiUwQbIdl5GLqE%2BY50ICgmcdJrKIPVadS%2FhmPKOFo14nVlpZlOp63ers57eQ7reM%2Fp1b3It%2FFZIbrUEgDX5DEQrD%2B%2BJXHtpVs0Z%2FvsonFX%2BNEwpX5P6V8UyJi1tAN8hloSBNffk3nic8OASOAPRvsQocLEGGa0wsleHc2pFkrSUBBTCxasJHJ0djq8C16ZlZr8DymTY%2Bqe1ynFWJE6hBU%2BPr3t4kitVqN9fRs1Q%2BjoVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=89710098371&catId=50001519
아이폰 16 128GB [자급제],"최저1,150,000원",https://cr.shopping.naver.com/adcr?x=q7z1izobswAAH03MXxAAtf%2F%2F%2Fw%3D%3Dsdp0rZfkbLKoiRwgJYmLLNlbGPHkTL4MMHns9bYWHI%2BoAjU5j3gjlMYsRq8%2BGHFpScU6jzfBnV%2BHChsqpwFq1nDXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVXrxMtSBE4hANuxNNlOGFF%2FGcVN9jDbPkIQ1odUrv%2BJxzxIbARL%2BoCZAZPL46AtJk2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlHcJpcE2Ne6Ok0y9pbE5dYQ%2F2M7NukjaZEovSPMpRwZE%2BE8YCiibN06F7pXXqOPTLASl8w9RAJ94JGF5Lt3C38fqPHB64hIpbi5T5z%2B1NExYwSsuJVqkvCUm54YYnYiEnOKx7G3krbJiQXzryuwwOqJDraSi%2FVrAm4lKj19DMACvLS6FmiNHNg6r8frvTHQSkf1QQzCLreNp8sjPDBjStixRrEZdj1Gs73MBamMEOXUl9dz5daAj7K%2BkVIVAQXOlutFiBdPxTSuvYOb67FAYBAGX9BAg%2BzBw3PN3Dc051zGgnGwXssWiUWB5AWWes%2FwlZHvBXs2DQwnDEW87dOYKUQBK0ok55%2B2sIRpVeNfjmRTSJpZQXwj8ITOrKh15puHt1g81Gi44tUFH1uRUKbnASPQASIbJJHJxstflUn134TkkEEv%2FjGfvRrGMk9xhBwNJBb3qWORBZFo1DfEd6%2FU%2FrLygqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=53599047304&catId=50001519
아이폰 15 128GB [자급제],"최저949,900원",https://cr.shopping.naver.com/adcr?x=N7QJfcM2owTF%2FHtbd%2Fkhlv%2F%2F%2Fw%3D%3DsN5JtEfAkv19NMHzACfNN69k6zCWR7hM9sa5zftaQwR3xTAJR5s3V3RheLYZrm3hT1Dag0Xy74VnJ6rQR%2FdzyCWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUIoMxO%2F3CnpkP8X%2FE2P5iIuNf0Oyh2rLulGjjhxbUmdRSa7WLVI%2B09atnjrAx2aay334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMti1w%2FECtV2qe1jnL4aM2gaY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpFBioyGYc1IlucKuBLuPxSHW%2FbW1RZL90VKQTLStCFUD0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEp%2BgzBK6rgfbwjretDmaj3A53o9s%2Bdz1EtU0lCGMA9yI8bV9SohnsJOp40F4RSK4iNUFczTaXAUp3PI65Af00IhS6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KooHKiq60hUuln4NQvZYiT0M9Tqme0YK6uG79Xy6idNiHH%2BfrfKNRTgWseaSfHVyvKQI4poIkqxZmwf%2FX7MjlP%2F%2BJNw334Sry5Rc3OR11sfHqdSlPOZBN6V54TTL6u%2FzFszcLOA%2BsMDYnX4jgwhIG%2BcpC%2FLbTSTczCTwA5HN4Lmu5WhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=53599527966&catId=50001519
아이폰 16 256GB [자급제],"최저1,394,000원",https://cr.shopping.naver.com/adcr?x=TaF091niGpL6yF8Y3Ckf7f%2F%2F%2Fw%3D%3Ds5Kr1vz4qXuqdS9T%2FjT6ywujsw2Gpa0QUV6JP9TwleqgAjU5j3gjlMYsRq8%2BGHFpSehr1kD8l4XyiFeGU2DRwzDXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVXrxMtSBE4hANuxNNlOGFF%2FGcVN9jDbPkIQ1odUrv%2BJxzxIbARL%2BoCZAZPL46AtJk2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlFydh93vC%2BUS65niDrA4EN3vLxjHMff%2BgVyiwLG0MmiL%2BE8YCiibN06F7pXXqOPTLASl8w9RAJ94JGF5Lt3C38fqPHB64hIpbi5T5z%2B1NExYwSsuJVqkvCUm54YYnYiEnOKx7G3krbJiQXzryuwwOqJelfKD11QSwaY21rgI59XeWXhmfndweNohR7Wacui2X31QQzCLreNp8sjPDBjStixRrEZdj1Gs73MBamMEOXUl%2FiKcbAzfwjnJDCSndyQs61FiBdPxTSuvYOb67FAYBAGyGHq98RggTldJAVk%2F18I4Ue%2Beig2o%2Btg3G0msNFep4bvBXs2DQwnDEW87dOYKUQBK0ok55%2B2sIRpVeNfjmRTSPURixxSSv%2FZMTBnihKMGfI81Gi44tUFH1uRUKbnASPQZsDrV4Wi1jcE30No0vsrfBKCujq9ZaCFnPaRyZ8JXWH3qWORBZFo1DfEd6%2FU%2FrLygqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=53599047322&catId=50001519
아이폰 15 프로 256GB [자급제],"최저1,393,900원",https://cr.shopping.naver.com/adcr?x=QnoDGg39tlWRSz2%2B4B5Ybf%2F%2F%2Fw%3D%3Dsmere02n%2FqPEFIjfON1j9z0FztRSczYJFSga5HO4JxglyoYErd7Wx1dfdVO6hh7qVjcSbyzT%2BzYnrE4Iq3miiMMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiA1LVRlAgkOUKJeTsi9xY02inTGG7KCW3doOQJ%2BYH80XnvvnSRIEVIqumWUtq14ohmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BzJ2m9xzVX16%2FGarX%2B01r3Ik7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VEWjWWIrRfi9AiqOQ%2B6%2BMpYtLAtd6Si8ClkYdMWCiOC0asJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8dY0wbBLNJR6lkPDKQQ3FOtnAlP0nWpzdqLK5lrfwftPqdi3Q%2Fm8V2A5jR123nAwZ2%2FxCZFmMD7BOnCgF8fltn5lehGaKbmK0AeBhp8f%2BsFxDk2nHMP4aHVCx%2FcONoE3uFXrcAP1z9jzUI2D9fR9Xz90u4czD1d73s%2BXym%2BxAMduSEJ2Md7S4zPenKzbCVMyAHfsZkHbJMXVwvymf0E%2BUxlz799N3w1ggsTWDcgIstgNQWtTjr5kNeL9hQkrFXnYJEs8cFUTVf2EXpmSuc9bAhLpX0sqG8cYIwTxXD4fmbSRao%2F0GjGSYVVG82Tpi%2FP1DaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=53599860411&catId=50001519
Apple 아이폰 12 mini 자급제  화이트  128GB,"458,000원",https://cr.shopping.naver.com/adcr?x=7iDHqqMfwrmjULOdacL3xP%2F%2F%2Fw%3D%3DsCa9JfcYxMBwnJrJqP5LGvfC6v3fDIkpAdDHnFswBtb%2FxTAJR5s3V3RheLYZrm3hTb%2FVl4rJl7f6pHRSlTN8Ucmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUIoMxO%2F3CnpkP8X%2FE2P5iIuNf0Oyh2rLulGjjhxbUmdRSa7WLVI%2B09atnjrAx2aayHNZtQ%2FiGx%2BQOIyH96Kmut2E6W4nW1ZBCJdFOCy3XN8wlaToL0ghSmUdGhrZMUHbDhsxCoSeBQNhekFZM3i0X%2B%2FEzggOzlmu%2FowE4agagGR4kVjp%2FDPUqzbBM8RIYUknvrLM5G5gm3kecO2r3SHi42M1qXVjYg2eRSXEHbnYXpWwsxyrpaTS7fjAmtxCeI9lwQYqMhmHNSJbnCrgS7j8Uh1v21tUWS%2FdFSkEy0rQhVA9D4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKaLDIgaWXqlZIx1BeYn77AteKTQ5y6GmuejsdVbe2q9JDG4evy%2BM13j64UYOnhTyGVIUx0GGm%2Bk%2Fwmtt4B3mWfB8xFiiHki%2FIAhpKNJriFwEm3sm0vyUuysXn74k9VUPTZaVo2tkjaUG42gi5AgDoXJbZataKZ%2BAEZ%2FRzMubvkSGHIvTSdGOugmqdQP9H6toutT4hWuMcKuXRJyTkSzfNo4MeNY5kAkz1nHIRnJx54pSLoIg4eUvJ%2Fu0XNDHjbs4HVgewVkYguYiRyTSQ2UiInavjEI39S9R3hVMC4X5mYk2zY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=55795851881&catId=50001519
해외아이폰 5S 무음 공기계 인스타 카메라 감성사진 학생폰 세컨폰 실버 16GB 항공,"79,500원",https://cr.shopping.naver.com/adcr?x=rWn5lhlAMW%2BWqWnd8IxabP%2F%2F%2Fw%3D%3Ds8g6W5W3z6lvxz2QyyQrLLzixvkwd7eBqmHf12%2FnYNPLxTAJR5s3V3RheLYZrm3hTyAkh3R9nLErWWXu10b1c4mg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUIoMxO%2F3CnpkP8X%2FE2P5iIuNf0Oyh2rLulGjjhxbUmdRSa7WLVI%2B09atnjrAx2aayRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY7xlzMYks0HmJ0IslzP0N7fQ1pu9SxBx9jmyq0tgSOnxFPK3%2BFxi8cjtL9spI9XEmPL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGHLMS4NmZggXUrZY2kU1q4kXwN2oN%2FNwkx3bK8mvZTbg5adVVOd36sZSkwU%2FrusCgl6NLpkWcTWUOpeSIndrETez5BlZVHBTXCHRZydfUNCDO%2FzmKsAfUQ2hhOQzcednjJCJHUOrulA%2B42JyKCCq0D4aSMIfKm9AQ%2B6PFrUAaTT%2B%2BiemGe3kg7ZJ0k5uYtkKPB7WDv12qhQ5IlERiQWOmezKI23UyninsLgEr2Qjq4wwaJFOr17rpenfTRd8dPWYx8YIk3mPxn4BPbZ%2FoTnWspRkzFmWO%2FIegiJhqL9646ABD%2B1GzYyCQAVsDO6ulMSblnmZw9bJY8Uw6kzfNkt%2FrK1h3v%2BZBbwlG64UA3yJbBM1cFcilKLCmG4EU%2F87nWc%2F9A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=88862658133&catId=50000249
